"","Estimate.x","Std. Error.x","t value.x","cat","2.5 %.x","97.5 %.x","Estimate.y","Std. Error.y","t value.y","2.5 %.y","97.5 %.y","Estimate.x.x","Std. Error.x.x","t value.x.x","2.5 %.x.x","97.5 %.x.x","Estimate.y.y","Std. Error.y.y","t value.y.y","2.5 %.y.y","97.5 %.y.y","Estimate.x.x.x","Std. Error.x.x.x","t value.x.x.x","2.5 %.x.x.x","97.5 %.x.x.x","Estimate.y.y.y","Std. Error.y.y.y","t value.y.y.y","2.5 %.y.y.y","97.5 %.y.y.y","Estimate","Std. Error","t value","2.5 %","97.5 %"
"20",10.48,0.47,22.4,"(Intercept)",9.56,11.39,0.69,0.57,1.2,-0.43,1.81,-0.41,1.47,-0.28,-3.28,2.47,2.76,0.59,4.72,1.62,3.91,3.68,1.48,2.5,0.8,6.57,2.87,0.56,5.16,1.78,3.96,3.66,1.46,2.5,0.79,6.52
"21",2.11,0.84,2.51,"pol_catind",0.46,3.76,NA,NA,NA,NA,NA,1.02,0.72,1.43,-0.38,2.43,NA,NA,NA,NA,NA,1.07,0.71,1.51,-0.31,2.45,NA,NA,NA,NA,NA,1.08,0.7,1.53,-0.3,2.46
"22",2.15,0.89,2.41,"pol_catrep",0.4,3.89,NA,NA,NA,NA,NA,0.78,0.77,1.02,-0.73,2.29,NA,NA,NA,NA,NA,1.16,0.76,1.53,-0.33,2.65,NA,NA,NA,NA,NA,1.17,0.76,1.54,-0.31,2.65
"23",3.23,0.77,4.2,"pol_catunk",1.72,4.74,NA,NA,NA,NA,NA,0.35,0.67,0.53,-0.97,1.68,NA,NA,NA,NA,NA,0.69,0.67,1.04,-0.61,1.99,NA,NA,NA,NA,NA,0.7,0.66,1.06,-0.59,1.99
"24",10.07,0.58,17.28,"(Intercept)",8.93,11.22,0.69,0.57,1.2,-0.43,1.81,-0.41,1.47,-0.28,-3.28,2.47,2.76,0.59,4.72,1.62,3.91,3.68,1.48,2.5,0.8,6.57,2.87,0.56,5.16,1.78,3.96,3.66,1.46,2.5,0.79,6.52
"25",2.2,0.69,3.19,"hh_cat2-4",0.85,3.55,NA,NA,NA,NA,NA,0.07,0.59,0.12,-1.09,1.23,NA,NA,NA,NA,NA,0.4,0.59,0.69,-0.74,1.55,NA,NA,NA,NA,NA,0.4,0.59,0.68,-0.75,1.55
"26",7.22,1.35,5.34,"hh_cat5+",4.57,9.86,NA,NA,NA,NA,NA,1.13,1.21,0.93,-1.23,3.49,NA,NA,NA,NA,NA,1.51,1.19,1.27,-0.82,3.83,NA,NA,NA,NA,NA,1.51,1.19,1.27,-0.82,3.83
"27",12.26,0.38,32.01,"(Intercept)",11.51,13.01,0.69,0.57,1.2,-0.43,1.81,-0.41,1.47,-0.28,-3.28,2.47,2.76,0.59,4.72,1.62,3.91,3.68,1.48,2.5,0.8,6.57,2.87,0.56,5.16,1.78,3.96,3.66,1.46,2.5,0.79,6.52
"28",-0.7,0.62,-1.13,"gender_iMale",-1.93,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",12.65,0.44,28.99,"(Intercept)",11.79,13.5,0.69,0.57,1.2,-0.43,1.81,-0.41,1.47,-0.28,-3.28,2.47,2.76,0.59,4.72,1.62,3.91,3.68,1.48,2.5,0.8,6.57,2.87,0.56,5.16,1.78,3.96,3.66,1.46,2.5,0.79,6.52
"30",-1.26,0.6,-2.08,"comorb_catY",-2.44,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",17.22,0.46,37.64,"(Intercept)",16.32,18.12,0.69,0.57,1.2,-0.43,1.81,-0.41,1.47,-0.28,-3.28,2.47,2.76,0.59,4.72,1.62,3.91,3.68,1.48,2.5,0.8,6.57,2.87,0.56,5.16,1.78,3.96,3.66,1.46,2.5,0.79,6.52
"32",-8.25,0.79,-10.39,"emp_catemp_noleave",-9.81,-6.7,NA,NA,NA,NA,NA,0.7,0.7,0.99,-0.68,2.08,NA,NA,NA,NA,NA,-1.34,0.71,-1.89,-2.73,0.04,NA,NA,NA,NA,NA,-1.33,0.71,-1.88,-2.72,0.05
"33",-9.4,0.66,-14.29,"emp_catno_emp",-10.69,-8.11,NA,NA,NA,NA,NA,0.14,0.66,0.22,-1.15,1.43,NA,NA,NA,NA,NA,-1.86,0.66,-2.8,-3.16,-0.56,NA,NA,NA,NA,NA,-1.85,0.66,-2.79,-3.15,-0.55
"34",-9.08,3.04,-2.99,"emp_catunk",-15.04,-3.13,NA,NA,NA,NA,NA,-0.12,2.67,-0.05,-5.35,5.1,NA,NA,NA,NA,NA,-2.07,2.63,-0.79,-7.22,3.08,NA,NA,NA,NA,NA,-2.05,2.63,-0.78,-7.2,3.1
"35",8.88,0.32,28.02,"(Intercept)",8.26,9.5,0.69,0.57,1.2,-0.43,1.81,-0.41,1.47,-0.28,-3.28,2.47,2.76,0.59,4.72,1.62,3.91,3.68,1.48,2.5,0.8,6.57,2.87,0.56,5.16,1.78,3.96,3.66,1.46,2.5,0.79,6.52
"36",0.35,0.02,20.62,"all_cont_r1",0.32,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.21,0.02,-13.71,-0.24,-0.18,-0.23,0.02,-14.52,-0.27,-0.2,-0.21,0.02,-13.68,-0.24,-0.18,-0.23,0.02,-14.52,-0.27,-0.2
