,Estimate.x,Std. Error.x,t value.x,cat,2.5 %.x,97.5 %.x,Estimate.y,Std. Error.y,t value.y,2.5 %.y,97.5 %.y,Estimate.x.x,Std. Error.x.x,t value.x.x,2.5 %.x.x,97.5 %.x.x,Estimate.y.y,Std. Error.y.y,t value.y.y,2.5 %.y.y,97.5 %.y.y,Estimate.x.x.x,Std. Error.x.x.x,t value.x.x.x,2.5 %.x.x.x,97.5 %.x.x.x,Estimate.y.y.y,Std. Error.y.y.y,t value.y.y.y,2.5 %.y.y.y,97.5 %.y.y.y,Estimate,Std. Error,t value,2.50%,97.50%
20,1.2,0.37,3.25,(Intercept),0.48,1.93,0.4,0.54,0.73,-0.66,1.45,0.32,1.38,0.23,-2.38,3.02,1.34,0.54,2.49,0.29,2.4,2.93,1.38,2.13,0.23,5.62,1.41,0.51,2.76,0.41,2.41,2.88,1.37,2.11,0.21,5.56
21,0.37,0.67,0.56,pol_catind,-0.93,1.68,NA,NA,NA,NA,NA,0.57,0.67,0.85,-0.74,1.89,NA,NA,NA,NA,NA,0.53,0.66,0.79,-0.78,1.83,NA,NA,NA,NA,NA,0.53,0.66,0.8,-0.77,1.82
22,-0.16,0.71,-0.23,pol_catrep,-1.54,1.22,NA,NA,NA,NA,NA,0.31,0.72,0.43,-1.11,1.73,NA,NA,NA,NA,NA,0.28,0.71,0.39,-1.12,1.68,NA,NA,NA,NA,NA,0.28,0.71,0.4,-1.11,1.68
23,-0.63,0.61,-1.03,pol_catunk,-1.82,0.56,NA,NA,NA,NA,NA,-0.52,0.63,-0.82,-1.76,0.72,NA,NA,NA,NA,NA,-0.28,0.63,-0.44,-1.5,0.95,NA,NA,NA,NA,NA,-0.27,0.62,-0.44,-1.49,0.94
24,0.96,0.46,2.07,(Intercept),0.05,1.86,0.4,0.54,0.73,-0.66,1.45,0.32,1.38,0.23,-2.38,3.02,1.34,0.54,2.49,0.29,2.4,2.93,1.38,2.13,0.23,5.62,1.41,0.51,2.76,0.41,2.41,2.88,1.37,2.11,0.21,5.56
25,0.07,0.55,0.12,hh_cat2-4,-1,1.14,NA,NA,NA,NA,NA,-0.15,0.56,-0.26,-1.24,0.94,NA,NA,NA,NA,NA,-0.14,0.55,-0.25,-1.22,0.94,NA,NA,NA,NA,NA,-0.14,0.55,-0.25,-1.22,0.94
26,1.5,1.07,1.4,hh_cat5+,-0.6,3.6,NA,NA,NA,NA,NA,0.81,1.13,0.72,-1.4,3.02,NA,NA,NA,NA,NA,0.51,1.12,0.45,-1.68,2.69,NA,NA,NA,NA,NA,0.51,1.12,0.45,-1.68,2.69
27,1.19,0.3,3.93,(Intercept),0.59,1.78,0.4,0.54,0.73,-0.66,1.45,0.32,1.38,0.23,-2.38,3.02,1.34,0.54,2.49,0.29,2.4,2.93,1.38,2.13,0.23,5.62,1.41,0.51,2.76,0.41,2.41,2.88,1.37,2.11,0.21,5.56
28,-0.24,0.49,-0.5,gender_iMale,-1.21,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1.21,0.34,3.5,(Intercept),0.53,1.88,0.4,0.54,0.73,-0.66,1.45,0.32,1.38,0.23,-2.38,3.02,1.34,0.54,2.49,0.29,2.4,2.93,1.38,2.13,0.23,5.62,1.41,0.51,2.76,0.41,2.41,2.88,1.37,2.11,0.21,5.56
30,-0.22,0.48,-0.45,comorb_catY,-1.15,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1.17,0.37,3.14,(Intercept),0.44,1.91,0.4,0.54,0.73,-0.66,1.45,0.32,1.38,0.23,-2.38,3.02,1.34,0.54,2.49,0.29,2.4,2.93,1.38,2.13,0.23,5.62,1.41,0.51,2.76,0.41,2.41,2.88,1.37,2.11,0.21,5.56
32,0.75,0.65,1.15,emp_catemp_noleave,-0.53,2.02,NA,NA,NA,NA,NA,0.73,0.66,1.1,-0.57,2.02,NA,NA,NA,NA,NA,-1.34,0.67,-2,-2.65,-0.03,NA,NA,NA,NA,NA,-1.34,0.67,-1.99,-2.65,-0.02
33,-0.71,0.54,-1.33,emp_catno_emp,-1.77,0.34,NA,NA,NA,NA,NA,-0.2,0.62,-0.33,-1.42,1.01,NA,NA,NA,NA,NA,-2.13,0.63,-3.39,-3.36,-0.9,NA,NA,NA,NA,NA,-2.13,0.63,-3.39,-3.35,-0.9
34,0.51,2.48,0.2,emp_catunk,-4.36,5.38,NA,NA,NA,NA,NA,0.8,2.5,0.32,-4.1,5.69,NA,NA,NA,NA,NA,-0.93,2.48,-0.38,-5.78,3.91,NA,NA,NA,NA,NA,-0.92,2.47,-0.37,-5.76,3.92
35,1.91,0.25,7.79,(Intercept),1.43,2.39,0.4,0.54,0.73,-0.66,1.45,0.32,1.38,0.23,-2.38,3.02,1.34,0.54,2.49,0.29,2.4,2.93,1.38,2.13,0.23,5.62,1.41,0.51,2.76,0.41,2.41,2.88,1.37,2.11,0.21,5.56
36,-0.2,0.02,-12.24,work_cont_r1,-0.23,-0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.19,0.02,-12.2,-0.23,-0.16,-0.22,0.02,-13.37,-0.26,-0.19,-0.19,0.02,-12.2,-0.23,-0.16,-0.22,0.02,-13.38,-0.26,-0.19
